"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405463417.1,487602457.7,596423607.1,695304363,764887117.2,872138715.1,958463184.4,1082979721,1245688268,1320474860,1379960894,1531944134,1665100559,1722798883,1873452514,1920111732,1941340782,2021229050,2228491620,2330726257,2424581006,2615083799,2745251397,2498882682,2390502793,2549720670,2534636872,2727849721,2790849162,2962905028,2983636872,3092430168,3202188607,NA,NA,NA
20082715854,20509450945,22350432991,26758657008,24464990260,27878943636,30313844064,31375545887,34187176314,39248424433,41922329781,46249016871,50226254839,65493333397,81369112589,86760396610,86526285694,98774170464,1.10584e+11,1.29459e+11,1.6275e+11,1.66769e+11,1.60833e+11,1.66124e+11,1.5184e+11,1.35636e+11,1.52883e+11,1.86901e+11,1.96533e+11,2.02293e+11,2.20795e+11,2.28439e+11,2.2554e+11,2.36549e+11,2.40164e+11,2.69666e+11,2.6844e+11,2.82212e+11,2.65837e+11,2.62197e+11,2.83953e+11,2.58843e+11,2.64895e+11,3.52692e+11,4.38876e+11,5.1226e+11,5.75976e+11,6.61242e+11,7.08354e+11,7.12558e+11,8.47409e+11,9.43378e+11,9.50521e+11,9.64242e+11,9.84807e+11,9.1993e+11,8.73355e+11,9.85356e+11,1.01285e+12,1.00991e+12,9.20792e+11,NA
537777811.1,548888895.6,546666677.8,751111191.1,800000044.4,1006666638,1399999967,1673333418,1373333367,1408888922,1748886596,1831108971,1595555476,1733333264,2155555498,2366666616,2555555567,2953333418,3300000109,3697940410,3641723322,3478787909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4055179566,4515558808,5226778809,6209137625,6971285595,9747879532,10109305183,12416161049,15856678596,17805113119,19907317066,20146404996,20497126770,19134211764,18116562465,18753469630,18053228579,18799450743,20116137326,NA
10404280784,11128050589,11943353288,12676515454,13838577015,14862472886,15832846881,14426432397,14880350847,16882094303,23504608015,20832819361,25264956496,31273822294,44214489606,51444737234,62129396933,65315014927,71199715512,88628410997,1.12031e+11,2.11004e+11,1.87164e+11,1.38115e+11,1.14263e+11,1.16507e+11,1.07498e+11,1.10322e+11,1.08943e+11,1.01769e+11,1.21802e+11,1.17457e+11,1.18282e+11,98826405551,86281770253,1.08221e+11,1.25763e+11,1.27064e+11,1.30107e+11,1.3752e+11,1.40408e+11,1.48012e+11,1.76933e+11,2.04642e+11,2.5409e+11,3.10554e+11,3.93297e+11,4.61778e+11,5.66426e+11,5.06996e+11,5.91583e+11,6.70963e+11,7.27571e+11,8.20788e+11,8.64967e+11,7.6073e+11,6.90543e+11,6.83742e+11,7.41692e+11,7.94572e+11,7.84588e+11,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5930503401,5550483036,5550483036,5784341596,6131475065,7553560459,7072063345,8083872012,8769250550,10201099040,11228764963,10603784541,8307810974,5768720422,4438321017,5538749260,7526446606,7648377413,6506229607,6152936539,9129634978,8936063723,15285594828,17812705294,23552052408,36970918699,52381006892,65266452081,88538611205,70307163678,83799496611,1.1179e+11,1.28053e+11,1.3671e+11,1.45712e+11,1.16194e+11,1.01124e+11,1.22124e+11,1.01353e+11,89417190341,58375976293,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1857338012,1897050133,2097326250,2080796250,2051236250,2253090000,2028553750,1099559028,652174990.8,1185315468,1880951520,2392764853,3199641336,2258513974,2545964541,3212121651,3480355258,3922100794,4348068242,5611496257,7184685782,8052073539,8896072919,10677324144,12881353508,12044208086,11926922829,12890764531,12319830437,12776220507,13228147516,11386850130,11861199831,13019689337,15156432310,15400242875,14887629268,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78619206.09,89409820.36,113408231.9,150820102.8,186558696.3,220127246.4,227281024.6,254020153.3,308008897.6,411578334.2,446416105.8,388958731.3,375895956.4,327861832.9,330070689.3,346737964.8,482000594,611316399.4,721425939.2,795449332.4,1029048482,1106928583,1210013652,1007025755,1017549124,1178738991,1223945357,1180597273,1211932398,1239876305,1429049198,1546926174,1755910032,2361726862,2894921778,3159905484,3456442103,3952600602,4085630584,3674409558,3449966857,3629203786,3188808943,3193704343,3271808157,2789870188,2896679212,3000180750,3218316013,3155065488,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,35087069740,38236378393,43232801790,49937328261,59495475636,75474648839,1.4309e+11,1.58213e+11,1.96937e+11,2.27414e+11,2.49589e+11,3.39276e+11,4.59077e+11,4.74922e+11,4.45965e+11,4.19255e+11,4.25904e+11,4.24933e+11,4.13859e+11,4.50109e+11,4.26816e+11,4.50189e+11,6.22695e+11,4.38787e+11,4.73825e+11,4.82778e+11,5.0778e+11,5.56071e+11,6.14208e+11,6.62334e+11,6.4451e+11,7.12853e+11,8.16039e+11,7.98525e+11,8.03142e+11,8.87874e+11,1.05627e+12,1.29792e+12,1.53319e+12,1.78956e+12,2.25422e+12,1.97436e+12,2.31124e+12,2.50178e+12,2.74055e+12,2.79958e+12,2.83168e+12,2.46358e+12,2.41198e+12,2.46644e+12,2.73078e+12,2.77647e+12,2.44758e+12,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14720672507,19213022691,24871775165,23775831783,31225463218,43598748449,49333424135,46622718605,42803323345,41807954236,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,1.04337e+11,1.03312e+11,1.09816e+11,1.24346e+11,1.47824e+11,1.80617e+11,2.22117e+11,2.57916e+11,3.15475e+11,2.53547e+11,2.89787e+11,3.50666e+11,3.74591e+11,3.90108e+11,4.03137e+11,3.58135e+11,3.57045e+11,3.85606e+11,4.22215e+11,4.17216e+11,3.58869e+11,NA
NA,NA,24450604878,18272123664,25605249382,28344705967,28630474728,24256667553,26436857247,31256284544,31584210366,33293199095,34733000536,52544000117,72436777342,52438647922,51169499891,56781000101,58082870156,69252328953,76961923742,78676842366,84307486837,1.03979e+11,79092001998,88416668900,1.10934e+11,1.11106e+11,1.26207e+11,76636898036,1.41352e+11,1.8972e+11,2.28789e+11,2.36742e+11,2.5744e+11,2.58032e+11,2.7215e+11,2.92859e+11,2.98948e+11,2.83523e+11,2.84204e+11,2.68697e+11,97724004252,1.27587e+11,1.64658e+11,1.98737e+11,2.32557e+11,2.87531e+11,3.61558e+11,3.32976e+11,4.23627e+11,5.30163e+11,5.45982e+11,5.52025e+11,5.2632e+11,5.94749e+11,5.57531e+11,6.43629e+11,5.2482e+11,4.51932e+11,3.89288e+11,NA
